STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT04,WT06,WT08
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",25-12-2023,4.25,,0,0,0,44,49,39,50,70,8.9,11,1,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",26-12-2023,3.58,,0,0,0,43,45,39,270,270,8.9,11,1,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",27-12-2023,6.71,,0.19,0,0,43,49,40,50,40,15,19,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",28-12-2023,10.51,,1.55,0,0,50,54,47,70,70,28,34,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",29-12-2023,8.95,,0.02,0,,49,53,45,240,240,19.9,21.9,1,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",30-12-2023,14.54,,0,0,,44,47,38,270,270,21.9,27.1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",31-12-2023,,,0,0,0,41,43,38,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",01-01-2024,6.71,,0,0,0,42,47,35,350,340,15,18.1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",02-01-2024,9.84,,0,0,0,36,42,28,350,350,18.1,21.9,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",03-01-2024,8.5,,0,0,0,39,45,33,300,300,14.1,19.9,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",04-01-2024,14.32,,0,0,0,40,46,28,310,310,29.1,34,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",05-01-2024,13.2,,0,0,0,31,38,26,340,330,23,28,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",06-01-2024,11.18,,0.54,0.1,0,33,39,27,70,60,29.1,36,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",07-01-2024,15.66,,0.28,0,0,37,39,35,320,310,23,31.1,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",08-01-2024,12.3,,0,0,0,39,45,32,330,330,33.1,40.9,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",09-01-2024,16.55,,1.59,0,0,37,54,28,150,160,40,53.9,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10-01-2024,22.59,,0.28,0,0,50,54,43,270,280,36,46.1,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11-01-2024,14.76,,0,0,0,44,46,39,270,270,28,35.1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12-01-2024,11.41,,0.06,0,0,42,48,34,100,110,31.1,42.9,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-01-2024,22.82,,1.13,0,0,49,56,35,280,280,38,49,1,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-01-2024,21.47,,0,0,0,37,44,26,280,270,36.9,48.1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-01-2024,9.4,,0.06,0.7,0,27,29,23,310,290,17,21,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-01-2024,14.32,,0.36,1.3,2,28,32,22,310,320,30,38,1,,1,1,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-01-2024,18.12,,0,0,1.2,22,24,18,260,260,28,32,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-01-2024,11.41,,0,0,1.2,26,33,22,270,270,21,25.1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-01-2024,10.96,1850,0.01,0.3,0,30,33,25,350,340,21,23.9,1,,,,1
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-01-2024,20.8,,0,0,0,23,26,18,310,320,30,38.9,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-01-2024,17.9,,0,0,0,23,32,19,310,310,29.1,35.1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-01-2024,12.53,,0,0,0,28,36,22,250,240,21.9,27.1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",23-01-2024,7.61,,0.01,0,0,36,40,32,240,250,18.1,21,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",24-01-2024,5.37,,0.09,0,0,39,45,36,120,130,10.1,13,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",25-01-2024,6.04,2201,0.27,0,0,47,55,43,100,100,23,28,1,,,,
